t,T,TT
242110,26.24034386087699,24.709426204075125
242120,26.240151323676688,24.7094068052202
242130,26.23995880825128,24.70938740819355
242140,26.23976631459826,24.709368012995
242150,26.23957384271512,24.709348619624375
242160,26.239381392599352,24.7093292280815
242170,26.239188964248445,24.709309838366202
242180,26.238996557659895,24.709290450478306
242190,26.23880417283119,24.709271064417635
242200,26.23861180975983,24.709251680184018
242210,26.238419468443304,24.70923229777728
242220,26.23822714887911,24.70921291719724
242230,26.238034851064732,24.70919353844373
242240,26.237842574997675,24.709174161516575
242250,26.237650320675428,24.7091547864156
242260,26.23745808809549,24.70913541314063
242270,26.237265877255354,24.709116041691487
242280,26.237073688152513,24.709096672068
242290,26.23688152078447,24.709077304269996
242300,26.23668937514871,24.7090579382973
242310,26.23649725124274,24.70903857414973
242320,26.236305149064048,24.709019211827123
242330,26.236113068610138,24.708999851329295
242340,26.235921009878506,24.708980492656078
242350,26.235728972866646,24.708961135807296
242360,26.23553695757206,24.708941780782773
242370,26.235344963992244,24.708922427582337
242380,26.235152992124696,24.70890307620581
242390,26.234961041966915,24.708883726653024
242400,26.2347691135164,24.708864378923796
242410,26.234577206770652,24.70884503301796
242420,26.234385321727167,24.708825688935335
242430,26.234193458383448,24.70880634667575
242440,26.234001616736993,24.70878700623903
242450,26.233809796785305,24.708767667625008
242460,26.233617998525883,24.708748330833497
242470,26.23342622195623,24.70872899586433
242480,26.233234467073846,24.708709662717332
242490,26.233042733876232,24.70869033139233
242500,26.23285102236089,24.708671001889144
242510,26.232659332525323,24.70865167420761
242520,26.232467664367032,24.708632348347543
242530,26.232276017883525,24.708613024308775
242540,26.2320843930723,24.708593702091132
242550,26.23189278993086,24.70857438169444
242560,26.231701208456712,24.708555063118524
242570,26.231509648647357,24.70853574636321
242580,26.2313181105003,24.708516431428322
242590,26.23112659401305,24.70849711831369
242600,26.230935099183103,24.708477807019136
242610,26.23074362600797,24.70845849754449
242620,26.230552174485158,24.708439189889575
242630,26.23036074461217,24.708419884054216
242640,26.230169336386513,24.708400580038244
242650,26.22997794980569,24.708381277841482
242660,26.229786584867213,24.708361977463756
242670,26.229595241568585,24.70834267890489
242680,26.229403919907316,24.708323382164718
242690,26.22921261988091,24.708304087243057
242700,26.229021341486877,24.70828479413974
242710,26.228830084722723,24.708265502854587
242720,26.22863884958596,24.70824621338743
242730,26.228447636074094,24.70822692573809
242740,26.228256444184634,24.708207639906398
242750,26.228065273915092,24.708188355892176
242760,26.227874125262975,24.708169073695256
242770,26.22768299822579,24.708149793315457
242780,26.227491892801055,24.70813051475261
242790,26.227300808986275,24.708111238006545
242800,26.22710974677896,24.70809196307708
242810,26.226918706176622,24.708072689964045
242820,26.226727687176776,24.70805341866727
242830,26.22653668977693,24.708034149186574
242840,26.22634571397459,24.708014881521787
242850,26.22615475976728,24.70799561567274
242860,26.225963827152505,24.707976351639253
242870,26.22577291612778,24.707957089421157
242880,26.225582026690617,24.707937829018274
242890,26.22539115883853,24.707918570430433
242900,26.225200312569033,24.70789931365746
242910,26.22500948787964,24.707880058699185
242920,26.224818684767865,24.70786080555543
242930,26.22462790323122,24.70784155422602
242940,26.224437143267224,24.70782230471079
242950,26.224246404873387,24.70780305700956
242960,26.22405568804723,24.707783811122155
242970,26.223864992786265,24.707764567048407
242980,26.22367431908801,24.70774532478814
242990,26.223483666949978,24.70772608434118
243000,26.22329303636969,24.707706845707353
243010,26.223102427344656,24.70768760888649
243020,26.2229118398724,24.707668373878416
243030,26.222721273950434,24.707649140682953
243040,26.22253072957628,24.707629909299936
243050,26.222340206747457,24.707610679729182
243060,26.22214970546148,24.707591451970526
243070,26.221959225715867,24.707572226023792
243080,26.221768767508138,24.707553001888808
243090,26.22157833083581,24.7075337795654
